Timestamp,Team Number,Match Number,Crosses the auto line (auto-run),Switch capabilities,Scale capabilities,Number of cubes in auton,Number of Cubes on Own Switch,Number of Cubes on Scale,Number of Cubes in Exchange,Climb,Played Good Defense,Extra Notes,Number of Cubes on Opponent's Switch
3/16/2018 20:14,5067,58,Yes,Same side,Yes,1,1,3,0,Yes,No,,0
3/17/2018 9:39,5067,62,Yes,No,Yes,1,3,1,0,Parked,,,0
3/16/2018 15:17,5067,22,Yes,No,No,0,1,0,0,Parked,No,,1
3/17/2018 9:48,5144,63,No,No,No,1,2,4,1,No,Yes,,0
3/16/2018 18:04,5144,40,No,No,No,1,0,0,1,No,No,,0
3/16/2018 19:22,5144,51,No,Same side,No,0,0,0,1,Parked,No,,0
3/16/2018 20:07,5144,57,No,No,No,0,0,0,1,Parked,No,Didn't do much,0
3/16/2018 15:43,5144,25,No,Wasnt in the match,Wasnt in the match,0,0,0,0,Wasnt in the match,No,Wasnt in the match,0
3/16/2018 11:57,5144,6,No,No,No,0,0,0,0,No,No,"They didn’t compete, robot not on field.",0
3/16/2018 14:17,5144,16,No,No,No,0,0,0,0,No,No,Was not enabled ,0
3/17/2018 10:36,5144,70,No,No,No,0,0,0,0,Parked,No,Spent 30 sec to grab one cubed but failed and gave up,0
3/16/2018 16:32,5144,30,No,.,.,0,0,0,0,.,No,was not part of this round,0
3/17/2018 9:26,5216,60,Yes,No,No,0,2,1,7,Parked,Yes,,0
3/16/2018 18:50,5216,46,Yes,Same side,Yes,0,0,3,3,Yes,No,Very good placement and stacking preciseness ,0
3/16/2018 17:42,5216,38,Yes,No,No,0,0,3,1,Yes,Yes,,0
3/16/2018 19:23,5216,51,Yes,Same side,No,1,2,3,1,Parked,No,,0
3/17/2018 10:16,5216,67,Yes,No,Yes,0,2,2,0,Yes,No,,0
3/16/2018 11:14,5216,2,yes,No,No,0,1,5,0,Parked,No,,0
3/16/2018 12:47,5216,12,No,Same side,No,1,0,4,0,Yes,No,,0
3/16/2018 15:18,5216,22,Yes,Same side,No,0,1,3,0,Parked,No,,0
3/16/2018 20:02,5216,56,Yes,From center,No,1,0,3,0,Yes,Yes,,3
3/16/2018 14:30,5216,17,Yes,Failed,No,0,1,2,0,Tried,No,,2
3/16/2018 18:31,5448,42,Yes,No,No,0,1,0,3,Parked,No,,0
3/16/2018 11:54,5448,6,No,No,No,0,0,0,0,No,No,Fell over in first 5 seconds,0
3/16/2018 12:55,5448,13,Yes,No,No,0,1,0,0,No,No,Driver could not control it. Stuck in same place.,0
3/16/2018 14:29,5448,17,Yes,No,No,0,1,0,0,No,No,,0
3/16/2018 15:07,5448,21,Yes,No,No,1,0,0,0,Parked,No,had trouble getting cubes,0
3/16/2018 15:59,5448,27,No,No,No,0,1,0,0,Parked,No,Hard to pick up cubes,0
3/16/2018 17:13,5448,35,Yes,No,No,1,0,0,0,Parked,No,,0
3/16/2018 19:38,5448,53,Yes,No,No,0,0,0,0,Parked,No,Just drove around: blocked own team a little bit on accident,0
3/16/2018 19:39,5448,53,No,No,No,0,0,0,0,Parked,No,This robot wandered aimlessly around the field...,0
3/17/2018 10:02,5448,64,Yes,No,No,0,0,0,0,Parked,Yes,No upper chassiss ,0
3/17/2018 10:50,5448,72,Yes,No,No,0,0,0,0,"Parked, No",Yes,No upper chassis,0
3/16/2018 15:01,5498,20,Yes,No,No,0,1,0,2,Parked,Yes,Wasn’t able to pick up cubes if they were on their side,1
3/16/2018 11:13,5498,2,Yes,From center,Yes,0,3,0,1,No,No,There grabber wasn’t strong enough to hold a cube reliably ,0
3/17/2018 9:56,5498,64,Yes,No,No,0,1,6,1,No,No,,0
3/16/2018 16:50,5498,32,No,No,No,0,0,4,0,No,No,Buzzerbeater for scale,0
3/17/2018 10:23,5498,68,Yes,Same side,No,1,0,3,0,No,No,,0
3/16/2018 12:12,5498,8,No,No,No,0,1,2,0,No,Yes,,0
3/16/2018 19:16,5498,50,Yes,No,No,0,1,2,0,Parked,No,Dropped multiple cubes for scale,0
3/16/2018 17:50,5498,39,No,No,No,0,0,1,0,No,No,,0
3/16/2018 18:26,5498,43,No,No,No,0,0,1,0,Climbed on another robot,No,,3
3/16/2018 20:14,5498,58,Yes,No,No,0,2,1,0,No,No,,0
3/16/2018 15:28,5498,23,Yes,No,No,0,0,0,0,No,No,Most likely disqualified due to throwing cube at ref in auton.,0
3/16/2018 18:43,5530,45,Yes,No,No,0,1,0,6,No,Yes,,0
3/16/2018 11:55,5530,6,Yes,Same side,Yes,0,0,0,4,Parked,No,,2
3/16/2018 12:24,5530,9,No,No,No,0,0,1,3,No,No,Drive system is faulty,0
3/16/2018 19:03,5530,48,Yes,No,No,0,0,2,2,No,No,,0
3/17/2018 10:23,5530,68,Yes,No,No,0,0,1,1,No,No,,0
3/16/2018 19:37,5530,53,Yes,No,No,0,1,3,0,Parked,No,,0
3/17/2018 9:25,5530,60,No,From center,No,1,0,2,0,Parked,Yes,Had a bad game plan,2
3/16/2018 15:52,5530,26,No,No,No,0,0,0,0,Parked,No,,1
3/16/2018 17:13,5536,35,Yes,No,No,0,0,1,3,Parked,No,Bad pilot,0
3/16/2018 14:52,5539,19,No,No,No,0,0,1,0,No,No,,1
